6239 = number of voxels
9 = number of ROIs
X-MNI,Y-MNI,Z-MNI,Lobe,Structure,Brodmann area,ROI-number [1...9] (if zero then not included in any ROI)
45,15,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
45,20,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
50,-20,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
50,-15,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
50,-10,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
50,0,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
50,5,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
50,10,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
55,-15,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
55,-10,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
55,-5,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
55,5,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-60,-15,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-60,-10,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-60,-5,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-55,-40,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-55,-35,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-55,-20,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-55,-5,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-55,0,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-55,5,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-50,-40,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-50,-25,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-50,-20,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-50,-5,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-50,0,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-50,10,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-50,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-45,-40,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 36,3
-45,-35,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-45,-25,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-45,-20,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-45,-10,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-45,0,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-45,5,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-45,10,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-45,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-45,20,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-40,-35,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 36,3
-40,-25,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-40,-20,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-40,-15,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-40,-10,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-40,10,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-40,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-40,20,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-35,-25,-30,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,5
-35,-20,-30,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,5
-35,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-35,20,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-30,-25,-30,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,5
-30,-20,-30,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,5
-30,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-30,20,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-25,-20,-30,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,5
-25,-15,-30,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 35,5
-25,5,-30,Limbic Lobe,Uncus,Brodmann area 28,9
-25,10,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-25,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-20,-10,-30,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 35,5
-20,-5,-30,Limbic Lobe,Uncus,Brodmann area 28,9
-20,5,-30,Limbic Lobe,Uncus,Brodmann area 28,9
-20,30,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 47,4
-15,-5,-30,Limbic Lobe,Uncus,Brodmann area 28,9
-15,0,-30,Limbic Lobe,Uncus,Brodmann area 28,9
-15,25,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 47,4
-15,30,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 47,4
-10,20,-30,Frontal Lobe,Rectal Gyrus,Brodmann area 11,4
-10,25,-30,Frontal Lobe,Rectal Gyrus,Brodmann area 11,4
5,20,-30,Frontal Lobe,Rectal Gyrus,Brodmann area 11,4
5,25,-30,Frontal Lobe,Rectal Gyrus,Brodmann area 11,4
10,20,-30,Frontal Lobe,Rectal Gyrus,Brodmann area 11,4
10,30,-30,Frontal Lobe,Rectal Gyrus,Brodmann area 11,4
15,-5,-30,Limbic Lobe,Uncus,Brodmann area 28,9
15,0,-30,Limbic Lobe,Uncus,Brodmann area 28,9
15,25,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 47,4
15,30,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 47,4
15,35,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11,4
20,-10,-30,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 35,5
20,-5,-30,Limbic Lobe,Uncus,Brodmann area 28,9
20,5,-30,Limbic Lobe,Uncus,Brodmann area 28,9
20,30,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 47,4
25,-20,-30,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,5
25,-15,-30,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 35,5
25,5,-30,Limbic Lobe,Uncus,Brodmann area 28,9
25,10,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
25,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
30,-25,-30,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,5
30,-20,-30,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,5
30,-15,-30,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,5
30,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
30,20,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
35,-25,-30,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,5
35,-20,-30,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,5
35,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
35,20,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
40,-25,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
40,-20,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
40,-15,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
40,-10,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
40,10,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
40,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
40,20,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
45,-40,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 36,3
45,-35,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
45,-25,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
45,-20,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
45,-10,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
45,0,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
45,5,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
45,10,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
45,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
45,20,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
50,-40,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 36,3
50,-25,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
50,-20,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
50,-10,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
50,-5,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
50,0,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
50,10,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
50,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
55,-40,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
55,-35,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
55,-20,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
55,-5,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
55,0,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
55,5,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
55,10,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
60,-15,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
60,-10,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
60,-5,-30,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-60,-35,-25,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-60,-30,-25,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-60,-25,-25,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-60,-20,-25,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-60,-15,-25,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-60,-10,-25,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-60,0,-25,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-55,-55,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,3
-55,-50,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,3
-55,-45,-25,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 37,3
-55,-40,-25,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 37,3
-55,-35,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-55,-30,-25,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-55,-25,-25,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-55,-10,-25,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-55,-5,-25,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-55,5,-25,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-55,10,-25,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-50,-60,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,3
-50,-55,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,3
-50,-50,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,3
-50,-45,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,3
-50,-40,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-50,-30,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-50,-25,-25,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-50,-5,-25,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-50,5,-25,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-50,10,-25,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-50,15,-25,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-45,-60,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,3
-45,-55,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,3
-45,-45,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,3
-45,-40,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 36,3
-45,-35,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-45,-30,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-45,-15,-25,Temporal Lobe,Sub-Gyral,Brodmann area 20,3
-45,-10,-25,Temporal Lobe,Sub-Gyral,Brodmann area 20,3
-45,5,-25,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-45,20,-25,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-40,-55,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,3
-40,-50,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,3
-40,-45,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,3
-40,-40,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-40,-35,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 36,3
-40,-30,-25,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,5
-40,-15,-25,Temporal Lobe,Sub-Gyral,Brodmann area 20,3
-40,-10,-25,Temporal Lobe,Sub-Gyral,Brodmann area 20,3
-40,20,-25,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-35,-40,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-35,-35,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
-35,-30,-25,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,5
-35,10,-25,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-35,15,-25,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-35,20,-25,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-30,-40,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 20,3
